video_id,view_count,video_size,video_length
e_Z6upbeYuc,5173063,575602742,1674
X5j69JMlbwM,636749,162313916,155
FzJjlIzZlVc,359904,25992777,246
oD3FOzQDuy0,355978,1584159639,1098
szS499UV9kw,249438,904794039,1109
J9ML-ksscvc,1168460,20395509,125
SLPs3oSZCPQ,372282,202057525,996
ap8bsb6ck78,1508608,157945420,1072
7casLyVjv1I,3212662,581065550,1730
lxBrPuEq3Vg,1211141,226558066,1026
Dn1VyFhkblE,575344,339599894,1337
bAUnbYSWWxM,714028,186872800,1020
0kBIdkDQNz0,138152,746945626,5209
MhNniYU5e3s,74013,95611890,923
7UNL-r7f4rI,593137,34699909,166
PKGPhBpAPqk,576859,761264979,628
IECpqbfskBE,176806,983415700,5931
8PSqAJ3cHMg,119373,229729874,907
a6Ypyc3snIg,323130,598585942,2328
0mCtgyAzIDM,289227,142109112,641
7dHMKCgrCpQ,433708,273369244,1328
_uMlZuXp8rM,57802,135304933,429
356sYj3zUgU,195445,697673463,485
9IaQBTYP9gQ,337457,1397880610,13833
IOvvh6YnbS8,402257,36727555,183
u1sCLhDBxJI,2000407,403666960,2164
fxYzUsSQVt0,334865,915418605,2336
MaOwB1pQRYk,43035,113004446,801
rdevAt4jbbI,626788,224905766,805
jbGRowa5tIk,6000070,36973340,20
m0YaU3WIGuc,257907,247176840,571
GpRoTn8OV9w,144354,444821959,1420
6yMrKGUQQCQ,59975,64982558,350
4NuYOK6EcA4,450148,95651294,414
nE2VgFDcWjw,84142,69646859,269
IELW-DWVOY0,1116797,145083652,629
IesQmElZlwc,262890,96712801,564
IdluYv-M7QA,359546,156122693,875
EP5tjpYzRpI,204926,18642805,174
Am35FA0UTO0,74912,88276801,524
AyXxjCA2AbU,998599,125791821,1667
dNoe75kxI4E,42487,104449094,618
6hHPrvsnZYU,142662,31488096,186
Aoc4Asd-Aoo,39712,707659452,2333
B5o1vT2oYI8,383562,981955189,617
4nZkhd-F0p4,67005,14448463,79
UDo-26nUTvA,104696,31023078,139
4KWGIv3aO9c,228904,343264861,1501
XDPLkSA3s-c,88811,74476168,241
4EfM6rPmxow,1191834,13439321,182
q2l-pTt83PA,105232,2851718961,11095
V8JxthXkbDw,319090,74932367,507
xDfF05f5aVY,149885,2612483683,18930
